Half-degree cell series of precipitation
Centre Latitude:              4.25
Centre Longitude:           -74.75
CRU TS Version:               4.04
Units:                     mm/month 

  Yr  Mo     Value   N.Obs
1901   1     36.60     1
1901   2     92.50     1
1901   3    116.60     1
1901   4     89.60     1
1901   5    159.60     1
1901   6     34.80     1
1901   7    116.70     1
1901   8    205.60     1
1901   9     95.50     1
1901  10    361.10     1
1901  11    383.40     1
1901  12    101.40     1
1902   1    220.50     1
1902   2     70.30     1
1902   3    316.90     1
1902   4    165.90     1
1902   5    112.00     1
1902   6     50.70     1
1902   7     20.70     1
1902   8     48.20     1
1902   9    115.60     1
1902  10    156.60     1
1902  11    194.70     1
1902  12     48.30     1
1903   1     59.90     1
1903   2     75.10     1
1903   3     64.10     1
1903   4    192.60     1
1903   5    166.20     1
1903   6    228.00     1
1903   7     21.50     1
1903   8    199.10     1
1903   9     93.50     1
1903  10    120.30     1
1903  11    270.00     1
1903  12    184.50     1
1904   1     92.60     1
1904   2    128.60     1
1904   3    321.50     1
1904   4    329.80     1
1904   5    251.00     1
1904   6     47.70     1
1904   7     71.80     1
1904   8     58.70     1
1904   9     80.90     1
1904  10    288.50     1
1904  11     63.00     1
1904  12     47.50     1
1905   1    125.30     1
1905   2     28.70     1
1905   3     97.20     1
1905   4    212.00     1
1905   5    207.20     1
1905   6    103.60     1
1905   7     48.70     1
1905   8     29.20     1
1905   9    220.30     1
1905  10    237.40     1
1905  11    358.50     1
1905  12    253.70     1
1906   1     38.80     1
1906   2    132.30     1
1906   3    117.20     1
1906   4    336.70     1
1906   5    231.80     1
1906   6    173.80     1
1906   7     97.10     1
1906   8     65.80     1
1906   9     26.50     1
1906  10    253.70     1
1906  11    179.80     1
1906  12     87.60     1
1907   1     58.00     1
1907   2    211.90     1
1907   3    413.90     1
1907   4    364.10     1
1907   5    193.00     1
1907   6    130.50     1
1907   7    142.20     1
1907   8     73.00     1
1907   9    169.60     1
1907  10    196.80     1
1907  11    164.70     1
1907  12    119.50     1
1908   1    149.40     1
1908   2    100.90     1
1908   3    240.90     1
1908   4    169.50     1
1908   5     75.50     1
1908   6     70.40     1
1908   7     80.20     1
1908   8    106.50     1
1908   9    181.90     1
1908  10    497.80     1
1908  11    193.50     1
1908  12    209.60     1
1909   1     78.50     1
1909   2    216.60     1
1909   3     19.00     1
1909   4    215.10     1
1909   5    295.60     1
1909   6    150.90     1
1909   7    181.00     1
1909   8    112.40     1
1909   9    108.80     1
1909  10    207.20     1
1909  11    160.40     1
1909  12     94.80     1
1910   1    259.40     1
1910   2     97.40     1
1910   3    437.00     1
1910   4    150.90     1
1910   5    514.20     1
1910   6    181.00     1
1910   7     69.00     0
1910   8     60.20     1
1910   9    181.90     1
1910  10    389.60     1
1910  11    143.90     1
1910  12    214.40     1
1911   1     93.20     1
1911   2    242.40     1
1911   3    183.80     1
1911   4    337.90     1
1911   5    227.00     1
1911   6    107.70     1
1911   7     72.80     1
1911   8     35.90     1
1911   9     14.60     1
1911  10     87.30     1
1911  11    159.30     1
1911  12     64.20     1
1912   1    102.60     1
1912   2    109.40     1
1912   3    108.20     1
1912   4    197.40     1
1912   5    113.70     1
1912   6     57.20     1
1912   7     95.50     1
1912   8    218.20     1
1912   9    134.60     1
1912  10    186.40     1
1912  11    347.00     1
1912  12    156.00     1
1913   1     39.50     1
1913   2     63.90     1
1913   3    159.10     1
1913   4    459.90     1
1913   5    214.00     1
1913   6     99.80     1
1913   7     35.90     1
1913   8     35.70     1
1913   9    413.10     1
1913  10    237.00     1
1913  11    248.50     1
1913  12    147.00     1
1914   1     58.20     1
1914   2     57.10     1
1914   3     47.80     1
1914   4    324.20     1
1914   5     47.60     1
1914   6     47.50     1
1914   7     27.20     1
1914   8     77.10     1
1914   9     32.70     1
1914  10    253.90     1
1914  11    387.60     1
1914  12    179.50     1
1915   1     82.00     1
1915   2    161.40     1
1915   3     58.90     1
1915   4    254.80     1
1915   5    290.90     1
1915   6    142.00     1
1915   7    102.50     1
1915   8    219.00     1
1915   9    108.30     1
1915  10    276.50     1
1915  11    190.60     1
