Half-degree cell series of temperature
Centre Latitude:              4.25
Centre Longitude:           -74.75
CRU TS Version:               4.04
Units:                     degrees C

  Yr  Mo     Value   N.Obs
1901   1     26.00     1
1901   2     25.90     1
1901   3     26.10     1
1901   4     25.50     1
1901   5     25.50     1
1901   6     25.40     1
1901   7     26.30     0
1901   8     26.40     0
1901   9     26.20     1
1901  10     25.30     1
1901  11     25.00     1
1901  12     25.30     1
1902   1     26.00     1
1902   2     25.90     1
1902   3     26.10     1
1902   4     25.50     1
1902   5     25.50     1
1902   6     25.40     1
1902   7     26.30     1
1902   8     26.40     0
1902   9     26.20     1
1902  10     25.30     1
1902  11     25.00     1
1902  12     25.30     1
1903   1     26.00     1
1903   2     25.90     1
1903   3     26.10     1
1903   4     25.50     1
1903   5     25.50     1
1903   6     25.40     1
1903   7     26.30     0
1903   8     26.40     0
1903   9     26.20     0
1903  10     25.30     1
1903  11     25.00     1
1903  12     25.30     1
1904   1     26.00     1
1904   2     25.90     0
1904   3     26.10     1
1904   4     25.50     0
1904   5     25.50     1
1904   6     25.40     0
1904   7     26.30     0
1904   8     26.40     0
1904   9     26.20     0
1904  10     25.30     1
1904  11     25.00     1
1904  12     25.30     1
1905   1     26.00     1
1905   2     25.90     1
1905   3     26.00     1
1905   4     25.50     1
1905   5     25.50     1
1905   6     25.40     1
1905   7     26.30     0
1905   8     26.40     0
1905   9     26.20     0
1905  10     25.30     1
1905  11     25.00     1
1905  12     25.30     1
1906   1     26.00     1
1906   2     25.90     1
1906   3     26.10     1
1906   4     25.50     1
1906   5     25.50     1
1906   6     25.40     1
1906   7     26.30     0
1906   8     26.40     0
1906   9     26.20     1
1906  10     25.30     0
1906  11     25.00     1
1906  12     25.20     1
1907   1     26.00     0
1907   2     25.90     0
1907   3     26.10     0
1907   4     25.50     0
1907   5     25.50     1
1907   6     25.40     1
1907   7     26.30     0
1907   8     26.40     0
1907   9     26.20     0
1907  10     25.30     1
1907  11     25.00     1
1907  12     25.30     1
1908   1     26.00     1
1908   2     25.90     1
1908   3     26.10     1
1908   4     25.50     1
1908   5     25.50     1
1908   6     25.40     1
1908   7     26.30     0
1908   8     26.40     0
1908   9     26.20     0
1908  10     25.30     1
1908  11     25.00     1
1908  12     25.30     1
1909   1     26.00     1
1909   2     25.90     0
1909   3     26.10     1
1909   4     25.50     0
1909   5     25.50     1
1909   6     25.40     1
